,ROLES,Companies,Experience,Salary,Location,Skills,Search,Clean_data,Title_new
347,junior data scientist/ta,WSD CONSULTANT PRIVATE LIMITED,1-5 ,,India,"data science,artificial intelligence,content development,machine learning,faculty development programs","junior data scientist/ta,India",junior data scientist ta india,Scientist
348,data scientist,Desiderate Consulting Private Limited,2-7 ,,"Delhi NCR, India, Noida","data science,machine learning,oracle,predictive modeling,data science,multivariate analysis,logistic regression","data scientist,Delhi NCR, India, Noida",data scientist delhi ncr india noida,Scientist
349,data scientist - analytics product,Hexaconcepts,4-8 ,,Bengaluru,"data science,predictive modeling,data scientist,data management,statistical modeling,data analytics,machine learning,statistics","data scientist - analytics product,Bengaluru",data scientist analytics product bengaluru,Scientist
350,data scientist - internet/online,e-Hireo Global Pvt Ltd,2-5 ,,Bengaluru,"data science,data scientist,data management,data analytics,analytics","data scientist - internet/online,Bengaluru",data scientist internet online bengaluru,Scientist
351,data engineer/data scientist with aws cloud,Common Ground Placement Solutions Pvt. Ltd,3-8 ,,India,"aws,elastic search,python,java,snowflake,artificial intelligence,hadoop,sql server","data engineer/data scientist with aws cloud,India",data engineer data scientist aws cloud india,Scientist
352,data scientist/ analyst,Applied Data Finance,2-3 ,,Chennai,"g python query language,mysql object oriented program","data scientist/ analyst,Chennai",data scientist analyst chennai,Scientist
353,senior data scientist (python),Black Olive Recruitment & Staffing Company,7-8 ,,Delhi NCR,"python,testing,data science,machine learning,business intelligence,hypothesis testing,machine learning","senior data scientist (python),Delhi NCR",senior data scientist python delhi ncr,Lead
354,data scientist / video analytics lead,Hewlett Packard Enterprise,6-9 ,,"Gurgaon, haryana","machine learning,it services,computer science,change management,architecture,coding,analytical","data scientist / video analytics lead,Gurgaon, haryana",data scientist video analytics lead gurgaon haryana,Lead
355,data scientist 2,Tecsist Solution Pvt. Ltd.,3-5 ,,Mumbai,"predictive modelling,inferential statistics,python,exploratory data analysis,data scientist,classification,statistical modelling","data scientist 2,Mumbai",data scientist mumbai,Scientist
356,data scientist - retail,TalentCo Search Pvt Ltd,4-9 ,,Mumbai,"data science,data scientist,artificial intelligence,data management,data visualization,data modeling,data analytics,machine learning","data scientist - retail,Mumbai",data scientist retail mumbai,Scientist
357,career opportunity || data scientist - clevertap,CIEL HR Services Pvt Ltd,3-8 ,,Mumbai,"python,testing,digital marketing,tableau,google analytics,hubspot,offline marketing","career opportunity || data scientist - clevertap,Mumbai",career opportunity data scientist clevertap mumbai,Scientist
358,data scientist,Bigshyft Hiring for Global Gene Corp,4-9 ,,"Mumbai, Ahmedabad","nlp - natural language processing,r,data mining,machine learning,python","data scientist,Mumbai, Ahmedabad",data scientist mumbai ahmedabad,Scientist
359,data scientist and campaign management,Talent Leads HR Solutions Pvt Ltd,7-10 ,,Mumbai,"campaign management,python,data science,spark,aws,azure","data scientist and campaign management,Mumbai",data scientist campaign management mumbai,Manager
360,data scientist (python+ statistical modeling),Crown Solutions India (P) Ltd,5-10 ,,Bengaluru,"python,data science,machine learning,big data,data scientist,statistical modeling,python","data scientist (python+ statistical modeling),Bengaluru",data scientist python statistical modeling bengaluru,Scientist
361,data scientist embedded systems innovation,CareerXperts Consulting,3-7 ,,Bengaluru,"unix,ubuntu,git,analytical,debugging,machine learning,programming,product design","data scientist embedded systems innovation,Bengaluru",data scientist embedded system innovation bengaluru,Scientist
362,dev - data scientist,Diamond pick,7-12 ,,Bengaluru,dev - data scientist,"dev - data scientist,Bengaluru",dev data scientist bengaluru,Scientist
363,data scientists,Arnold Consulting Pvt Ltd,6-11 ,,Bengaluru,"python,testing,data science,machine learning,big data,digital marketing,tableau","data scientists,Bengaluru",data scientist bengaluru,Scientist
364,data scientist- (forecasting+python),Core Compete Pvt. Ltd.,4-7 ,,India,"python,machine learning,python,time series analysis,time series forecasting,machine learning","data scientist- (forecasting+python),India",data scientist forecasting python india,Scientist
365,lead-data scientist,KRISHPAR TECHNOLOGIES PRIVATE LIMITED,2-6 ,,India,"computer vision,image processing,neural networks,machine learning,signal processing,programming,supervision,python","lead-data scientist,India",lead data scientist india,Lead
366,data analyst–fresher–data scientist–python–tableau–power bi - mnc jobs,GABA Consultancy services,0-5 ,225000 - 475000 ,India,"fresher data analyst,power bi,banking,tableau,marketing analytics,graduate fresher,fresher reporting analyst,analytics","data analyst–fresher–data scientist–python–tableau–power bi - mnc jobs,India",data analyst fresher data scientist python tableau power bi mnc job india,Scientist
367,data scientist,Cove Venture,2-5 ,,"Mumbai, Guntur","java,python,machine learning,unix,computer science,deep learning,c++","data scientist,Mumbai, Guntur",data scientist mumbai guntur,Scientist
368,data scientist - azure - machine learning - power bi,Eyeglobal Solutions Private Limited,5-8 ,1500000 - 1800000 ,Pune,"azure,power bi,machine learning,it skills,python,software development,data science,data science","data scientist - azure - machine learning - power bi,Pune",data scientist azure machine learning power bi pune,Scientist
369,lead data scientist,Bigshyft Hiring for Qualys,7-10 ,2750000 - 4000000 ,Pune,"r,hadoop,statistical modelling,deep learning,python","lead data scientist,Pune",lead data scientist pune,Lead
370,hiring data scientist - pune,People Powered Solutions,3-6 ,700000 - 1500000 ,Pune(Kalyani Nagar),"python,data science,big data analytics,predictive modeling,data scientist,machine learning,business intelligence,sql","hiring data scientist - pune,Pune(Kalyani Nagar)",hiring data scientist pune pune kalyani nagar,Scientist
371,sr.data scientist,Innefu Labs,3-8 ,,Delhi,python,"sr.data scientist,Delhi",sr data scientist delhi,Scientist
372,data scientist,Tech27 Systems Ltd,3-8 ,,Kozhikode,"c++,sql database,analytical,machine learning,javascript,calculus,windows,analytics","data scientist,Kozhikode",data scientist kozhikode,Scientist
373,data scientist i,Novartis Healthcare Pvt. Ltd.,3-6 ,,Hyderabad,"automation,claims,team management,analytical,social media,strategic planning,spss,forecasting","data scientist i,Hyderabad",data scientist hyderabad,Scientist
374,data scientists,Pratibha Analytics,2-7 ,,Hyderabad,"help desk,customer service,customer relationship,access controls,telephony support,asset management,vendor management,information","data scientists,Hyderabad",data scientist hyderabad,Scientist
